run_id,run_number,commit_sha,commit_message,status,workflow_duration,job_name,job_status,job_duration,test_count,test_failures,test_avg_time,timestamp,html_url,experiment_label,job_started_at,job_completed_at
26888818311,10,467b412f11bba3c8fc0215eafc64f051debfafad,experiment: run 09 paralelo-2-shards,success,33.0,tests shard 1,success,22.0,66,0,0.0165,2026-06-03T13:43:47Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888818311,paralelo-2-shards,2026-06-03T13:43:58Z,2026-06-03T13:44:20Z
26888794419,9,132078d0473af6d8d8f3b18a21d00d5c24d20328,experiment: run 08 cache-v2-aquecido,success,35.0,load experiment config,success,6.0,63,0,0.016937,2026-06-03T13:43:23Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888794419,cache-v2-aquecido,2026-06-03T13:43:27Z,2026-06-03T13:43:33Z
26888794419,9,132078d0473af6d8d8f3b18a21d00d5c24d20328,experiment: run 08 cache-v2-aquecido,success,35.0,tests shard 0,success,18.0,63,0,0.016937,2026-06-03T13:43:23Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888794419,cache-v2-aquecido,2026-06-03T13:43:36Z,2026-06-03T13:43:54Z
26888794419,9,132078d0473af6d8d8f3b18a21d00d5c24d20328,experiment: run 08 cache-v2-aquecido,success,35.0,lint,success,21.0,63,0,0.016937,2026-06-03T13:43:23Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888794419,cache-v2-aquecido,2026-06-03T13:43:36Z,2026-06-03T13:43:57Z
26888772585,8,016909f0f968159e14f74cd954e85297b3f08078,experiment: run 07 cache-invalidado,success,37.0,load experiment config,success,4.0,63,0,0.017016,2026-06-03T13:43:01Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888772585,cache-invalidado,2026-06-03T13:43:04Z,2026-06-03T13:43:08Z
26888772585,8,016909f0f968159e14f74cd954e85297b3f08078,experiment: run 07 cache-invalidado,success,37.0,lint,success,26.0,63,0,0.017016,2026-06-03T13:43:01Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888772585,cache-invalidado,2026-06-03T13:43:11Z,2026-06-03T13:43:37Z
26888772585,8,016909f0f968159e14f74cd954e85297b3f08078,experiment: run 07 cache-invalidado,success,37.0,tests shard 0,success,26.0,63,0,0.017016,2026-06-03T13:43:01Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888772585,cache-invalidado,2026-06-03T13:43:11Z,2026-06-03T13:43:37Z
26888751941,7,e67dc66a50acc2ea4f7a1ef7a0708374b7458d16,experiment: run 06 teste-lento,success,30.0,load experiment config,success,6.0,63,0,0.017016,2026-06-03T13:42:39Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888751941,teste-lento,2026-06-03T13:42:42Z,2026-06-03T13:42:48Z
26888751941,7,e67dc66a50acc2ea4f7a1ef7a0708374b7458d16,experiment: run 06 teste-lento,success,30.0,lint,success,15.0,63,0,0.017016,2026-06-03T13:42:39Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888751941,teste-lento,2026-06-03T13:42:50Z,2026-06-03T13:43:05Z
26888751941,7,e67dc66a50acc2ea4f7a1ef7a0708374b7458d16,experiment: run 06 teste-lento,success,30.0,tests shard 0,success,19.0,63,0,0.017016,2026-06-03T13:42:39Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888751941,teste-lento,2026-06-03T13:42:50Z,2026-06-03T13:43:09Z
26888730952,6,17fff9dcdbcf111398d8ab9d3904060fb53bd374,experiment: run 05 mais-testes-60,success,27.0,load experiment config,success,3.0,63,0,0.000952,2026-06-03T13:42:18Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888730952,mais-testes-60,2026-06-03T13:42:22Z,2026-06-03T13:42:25Z
26888730952,6,17fff9dcdbcf111398d8ab9d3904060fb53bd374,experiment: run 05 mais-testes-60,success,27.0,tests shard 0,success,16.0,63,0,0.000952,2026-06-03T13:42:18Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888730952,mais-testes-60,2026-06-03T13:42:28Z,2026-06-03T13:42:44Z
26888730952,6,17fff9dcdbcf111398d8ab9d3904060fb53bd374,experiment: run 05 mais-testes-60,success,27.0,lint,success,16.0,63,0,0.000952,2026-06-03T13:42:18Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888730952,mais-testes-60,2026-06-03T13:42:28Z,2026-06-03T13:42:44Z
26888706554,5,124126f770787308f46d23d1a9ab3c495a972da9,experiment: run 04 recuperacao-verde,success,35.0,load experiment config,success,6.0,27,0,0.001667,2026-06-03T13:41:53Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888706554,recuperacao-verde,2026-06-03T13:41:56Z,2026-06-03T13:42:02Z
26888706554,5,124126f770787308f46d23d1a9ab3c495a972da9,experiment: run 04 recuperacao-verde,success,35.0,lint,success,15.0,27,0,0.001667,2026-06-03T13:41:53Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888706554,recuperacao-verde,2026-06-03T13:42:05Z,2026-06-03T13:42:20Z
26888706554,5,124126f770787308f46d23d1a9ab3c495a972da9,experiment: run 04 recuperacao-verde,success,35.0,tests shard 0,success,22.0,27,0,0.001667,2026-06-03T13:41:53Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888706554,recuperacao-verde,2026-06-03T13:42:06Z,2026-06-03T13:42:28Z
26888682978,4,01edf8203ce414bcd3ea21a3bf33106b7b240fb6,experiment: run 03 falha-controlada,failure,26.0,load experiment config,success,4.0,27,1,0.001556,2026-06-03T13:41:29Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888682978,falha-controlada,2026-06-03T13:41:32Z,2026-06-03T13:41:36Z
26888682978,4,01edf8203ce414bcd3ea21a3bf33106b7b240fb6,experiment: run 03 falha-controlada,failure,26.0,tests shard 0,failure,14.0,27,1,0.001556,2026-06-03T13:41:29Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888682978,falha-controlada,2026-06-03T13:41:38Z,2026-06-03T13:41:52Z
26888682978,4,01edf8203ce414bcd3ea21a3bf33106b7b240fb6,experiment: run 03 falha-controlada,failure,26.0,lint,success,15.0,27,1,0.001556,2026-06-03T13:41:29Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888682978,falha-controlada,2026-06-03T13:41:39Z,2026-06-03T13:41:54Z
26888661356,3,095c95cd7fbc43466ef70fafdc434c37f876026f,experiment: run 02 cache-aquecido,success,35.0,load experiment config,success,4.0,27,0,0.001481,2026-06-03T13:41:06Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888661356,cache-aquecido,2026-06-03T13:41:10Z,2026-06-03T13:41:14Z
26888661356,3,095c95cd7fbc43466ef70fafdc434c37f876026f,experiment: run 02 cache-aquecido,success,35.0,lint,success,17.0,27,0,0.001481,2026-06-03T13:41:06Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888661356,cache-aquecido,2026-06-03T13:41:17Z,2026-06-03T13:41:34Z
26888661356,3,095c95cd7fbc43466ef70fafdc434c37f876026f,experiment: run 02 cache-aquecido,success,35.0,tests shard 0,success,24.0,27,0,0.001481,2026-06-03T13:41:06Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888661356,cache-aquecido,2026-06-03T13:41:17Z,2026-06-03T13:41:41Z
26888639968,2,9d2815a5a6e9c13b045b78c5cfd457e43ba1cbc7,experiment: run 01 baseline-rapido,success,29.0,load experiment config,success,5.0,27,0,0.001407,2026-06-03T13:40:44Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888639968,baseline-rapido,2026-06-03T13:40:47Z,2026-06-03T13:40:52Z
26888639968,2,9d2815a5a6e9c13b045b78c5cfd457e43ba1cbc7,experiment: run 01 baseline-rapido,success,29.0,tests shard 0,success,17.0,27,0,0.001407,2026-06-03T13:40:44Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888639968,baseline-rapido,2026-06-03T13:40:55Z,2026-06-03T13:41:12Z
26888639968,2,9d2815a5a6e9c13b045b78c5cfd457e43ba1cbc7,experiment: run 01 baseline-rapido,success,29.0,lint,success,17.0,27,0,0.001407,2026-06-03T13:40:44Z,https://github.com/FeZillo/ponderada-coletando-metricas/actions/runs/26888639968,baseline-rapido,2026-06-03T13:40:55Z,2026-06-03T13:41:12Z
